Domain,Affinity,Linking Websites,Domain Authority,Month Traffic
yahoo.com,53.6,454228,93,509250312
forbes.com,42.9,1363988,94,75616884
nytimes.com,39.2,2043990,95,96190601
bbc.com,39,836309,94,101569380
msn.com,36.4,950102,94,225046374
cnn.com,35.8,1519014,95,83931414
theguardian.com,31.9,1463690,94,60724110
reuters.com,30.9,871158,94,31686084
indiatimes.com,28.6,462347,94,41879504
businessinsider.com,26.1,786294,94,28494401
bloomberg.com,25.3,790775,94,18895570
cnbc.com,24.9,544806,93,22547646
substack.com,24.5,282404,92,27731772
apnews.com,24.5,297468,92,31185149
usatoday.com,23.7,807215,94,39272244
nbcnews.com,22.9,630268,93,27968112
washingtonpost.com,21.7,1082554,94,27896604
wsj.com,21.7,906147,93,16426760
usnews.com,20.1,434672,92,21974208
cbsnews.com,20,627169,93,20462380
dailymail.co.uk,19.9,1015911,94,47557874
theverge.com,18.8,372360,93,17600770
independent.co.uk,18.4,704726,94,26977660
bbc.co.uk,18.3,1573186,95,60326406
nypost.com,18.3,411184,93,27401064
newsweek.com,17.7,379196,93,18682266
foxnews.com,16,530522,94,23655528
hindustantimes.com,15.9,233105,93,16678186
time.com,15.3,777166,94,10614807
aljazeera.com,15.2,314063,93,15260496
people.com,14.3,257351,93,23084868
axios.com,13.9,140659,91,8034880
latimes.com,12.8,665511,93,11899320
politico.com,12.6,276220,92,11046294
makeuseof.com,12.5,120649,90,19088653
variety.com,12.5,298546,92,18645348
thehill.com,12.3,226348,92,11168901
economist.com,12,362391,93,7007065
telegraph.co.uk,11.9,906108,94,13172124
theatlantic.com,11.8,547987,93,7430787
scmp.com,11.8,175810,91,6483480
livemint.com,11.7,139621,91,8504199
theconversation.com,11.4,337396,92,8234919
ndtv.com,11.3,201831,93,10173284
fastcompany.com,11,331551,92,2927544
vox.com,10.8,426611,92,6688456
bizjournals.com,10.8,261478,92,2319954
nikkei.com,10.7,238921,93,9273173
indianexpress.com,10.6,249206,92,9395676
cbc.ca,10.6,461565,93,13643980