Feature,Audience SERPs,Global SERPs,+/- Vs. Global
related_searches,72.2,72.95,-1.028101439
related_questions,65.62,51.07,28.49030742
image_pack,50.37,60.11,-16.20362668
site_links,29.66,18.95,56.5171504
knowledge_panel,21.51,20.07,7.174887892
featured_snippet,18.79,16.61,13.12462372
videos,16.46,9.47,73.81203801
local_pack,3.61,9.37,-61.47278549
popular_products,1.61,8.75,-81.6
spelling,1.5,0.78,92.30769231
news_box,1.08,0.55,96.36363636
shopping_results,0.69,2.69,-74.34944238
jobs_pack,0.55,0.62,-11.29032258
twitter,0.33,0.21,57.14285714
recipes,0.06,2.51,-97.60956175