Domain,Affinity,Linking Websites,Domain Authority,Month Traffic,Hidden Gem
controleng.com,62,7837,55,47840,TRUE
engineering.com,59.88357635,25615,70,307581,FALSE
automationworld.com,58.47496326,8073,56,18676,TRUE
industryweek.com,57.77416073,26786,73,44298,FALSE
plantengineering.com,57.77416073,5371,50,25234,TRUE
automation.com,57.06635018,14135,53,47840,TRUE
manufacturing.net,56.36554764,14745,62,28221,FALSE
asme.org,52.13970838,44840,75,825360,FALSE
csemag.com,50.02328473,6013,51,56565,TRUE
iotforall.com,50.02328473,8672,56,36579,TRUE
datamation.com,49.31547417,11726,75,76744,FALSE
aiche.org,45.79744546,17600,64,173046,FALSE
dataversity.net,45.79744546,8784,63,96320,FALSE
dataconomy.com,45.0896349,8176,58,347304,TRUE
cleantechnica.com,42.98021928,58019,83,397290,FALSE
semiengineering.com,42.27240873,8940,70,145396,FALSE
siemens.com,14.71685317,146848,91,5405932,FALSE
claude.ai,11.21284051,6187,58,21818842,TRUE
se.com,10.65219849,959,40,3902250,TRUE
mckinsey.com,10.37187747,235825,89,3502071,FALSE
mathworks.com,10.37187747,77152,83,6191060,FALSE
businesswire.com,9.741155194,314814,92,2041494,FALSE
gartner.com,9.460834181,166075,91,2795717,FALSE
sap.com,9.320673675,142927,91,7817040,FALSE
acm.org,9.320673675,167596,91,4135255,FALSE
acs.org,9.180513168,210872,92,5108614,FALSE
eng-tips.com,9.180513168,7047,53,1178310,TRUE
builtin.com,8.970272409,36859,70,3501522,FALSE
weforum.org,8.900192156,253560,92,2852058,FALSE
mouser.com,8.830111902,41170,76,3413133,FALSE
digikey.com,8.760031649,45937,73,3509208,FALSE
globenewswire.com,8.619871143,174453,90,1204917,FALSE
unitconverters.net,8.54979089,4535,49,4908981,TRUE
grabcad.com,8.54979089,20550,71,3722400,FALSE
economist.com,8.409630383,362391,93,7007065,FALSE
libretexts.org,8.409630383,32284,65,7934640,FALSE
kaggle.com,8.33955013,51402,72,8430147,FALSE
pypi.org,8.269469877,78602,85,11238319,FALSE
livemint.com,8.199389624,139621,91,8504199,FALSE
pitchbook.com,8.059229117,42400,73,2360358,FALSE
ti.com,8.059229117,74490,77,3587650,FALSE
rockwellautomation.com,8.059229117,27017,71,1064280,FALSE
datacamp.com,7.989148864,23993,73,6046500,FALSE
springernature.com,7.848988358,110599,78,4748611,FALSE
worldbank.org,7.778908104,289932,93,5534460,FALSE
nasdaq.com,7.778908104,148242,91,5066033,FALSE
convertunits.com,7.778908104,7697,59,2422602,TRUE
eaton.com,7.778908104,48453,73,1609696,FALSE
engineeringtoolbox.com,7.778908104,27841,62,1044189,FALSE
globalspec.com,7.778908104,34948,70,602133,FALSE